"For more details see","For more details see"
"User Guide","User Guide"
"Payment Fee Information","Payment Fee Information"
"Product Fee Information","Product Fee Information"
"Shipping Fee Information","Shipping Fee Information"
Main,Main
"Manage Options","Manage Options"
Properties,Properties
"Manage Labels","Manage Labels"
"Additional Fees","Additional Fees"
None,None
"Get MultiFees method called #251628","Get MultiFees method called #251628"
"Unrecognized input type.","Unrecognized input type."
"Message for","Message for"
"Date for","Date for"
"Incl. Tax ","Incl. Tax "
"There no render for the fee type %1","There no render for the fee type %1"
"%1 doesn't implement \MageWorx\MultiFees\Api\FeeFormInputRenderInterface","%1 doesn't implement \MageWorx\MultiFees\Api\FeeFormInputRenderInterface"
"Order # %1","Order # %1"
FPT,FPT
"Additional Product Fees (Incl. Tax)","Additional Product Fees (Incl. Tax)"
"Additional Product Fees (Excl. Tax","Additional Product Fees (Excl. Tax"
"Excl. Tax","Excl. Tax"
"Incl. Tax","Incl. Tax"
"Additional Fees (Incl. Tax)","Additional Fees (Incl. Tax)"
"Additional Fees (Excl. Tax","Additional Fees (Excl. Tax"
"Option title is required for the default (admin) scope.","Option title is required for the default (admin) scope."
"Price could not be a negative number.","Price could not be a negative number."
"The ""Fee Options"" field is empty. Add some options for the fee to proceed.","The ""Fee Options"" field is empty. Add some options for the fee to proceed."
"To apply changes you should fill in required ""%1"" field","To apply changes you should fill in required ""%1"" field"
"The Fee has been deleted.","The Fee has been deleted."
"Fee not found.","Fee not found."
"The Fee no longer exists.","The Fee no longer exists."
"New Cart Fee","New Cart Fee"
"Cart Fees","Cart Fees"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while disabling Fees.","An error occurred while disabling Fees."
"A total of %1 Fees have been disabled.","A total of %1 Fees have been disabled."
"An error occurred while enabling Fees.","An error occurred while enabling Fees."
"A total of %1 Fees have been enabled.","A total of %1 Fees have been enabled."
"You saved the fee.","You saved the fee."
"Something went wrong while saving the fee.","Something went wrong while saving the fee."
"Cart Fee","Cart Fee"
MultiFees,MultiFees
"New Payment Fee","New Payment Fee"
"Payment Fees","Payment Fees"
"Payment Fee","Payment Fee"
"New Product Fee","New Product Fee"
"Product Fees","Product Fees"
"Product Fee","Product Fee"
"New Shipping Fee","New Shipping Fee"
"Shipping Fees","Shipping Fees"
"Shipping Fee","Shipping Fee"
"We cannot apply the fees.","We cannot apply the fees."
"Empty Quote","Empty Quote"
"Unknown fee type for update. Available type: payment_method","Unknown fee type for update. Available type: payment_method"
"Unknown fee type for update. Available type: shipping_method","Unknown fee type for update. Available type: shipping_method"
"Old method getMultifees from helper has been called #261259","Old method getMultifees from helper has been called #261259"
"Unspecified fee type to detect suitable repository #261840","Unspecified fee type to detect suitable repository #261840"
"Cant find type for the fee with id %1","Cant find type for the fee with id %1"
"Incl. Tax %1","Incl. Tax %1"
title,title
"Code: ","Code: "
"Model %1 should have a quote","Model %1 should have a quote"
"Quote in the model %1 should be instance of \Magento\Quote\Model\Quote . %2 instance got.","Quote in the model %1 should be instance of \Magento\Quote\Model\Quote . %2 instance got."
"Product attribute combination","Product attribute combination"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Empty billing address","Empty billing address"
"Product Attribute","Product Attribute"
"Empty shipping address","Empty shipping address"
"Subtotal with Discount","Subtotal with Discount"
"Shipping & Handling","Shipping & Handling"
Tax,Tax
"Each X Items","Each X Items"
"Each X Products","Each X Products"
"Each X Unit of Weight","Each X Unit of Weight"
"Each X Amount Spent","Each X Amount Spent"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Whole Cart","Whole Cart"
Product,Product
"Drop down","Drop down"
Radio,Radio
Checkbox,Checkbox
Hidden,Hidden
Enable,Enable
Disable,Disable
"Quote must be set and must be instance of \Magento\Quote\Model\Quote","Quote must be set and must be instance of \Magento\Quote\Model\Quote"
"Payment must be set and must be instance of \Magento\Quote\Model\Quote\Payment","Payment must be set and must be instance of \Magento\Quote\Model\Quote\Payment"
"A required field ""id"" missed.","A required field ""id"" missed."
"A required field ""options"" missed.","A required field ""options"" missed."
"A required field ""itemId"" missed.","A required field ""itemId"" missed."
"Unknown fee type %1","Unknown fee type %1"
"Could not save the fee: %1","Could not save the fee: %1"
"Fee with id ""%1"" does not exist.","Fee with id ""%1"" does not exist."
